Valid,Rate,Frequency,Percent,Valid Percent,Cumulative Percent
,671.0,1,.0,.0,47.4
,671.1,1,.0,.0,47.4
,671.2,1,.0,.0,47.5
,671.4,3,.1,.1,47.5
,671.5,1,.0,.0,47.6
,671.7,1,.0,.0,47.6
,671.8,2,.1,.1,47.7
,671.9,1,.0,.0,47.7
,672.0,1,.0,.0,47.7
,672.2,1,.0,.0,47.8
,672.5,1,.0,.0,47.8
,672.6,1,.0,.0,47.8
,672.8,1,.0,.0,47.9
,672.9,1,.0,.0,47.9
,673.0,1,.0,.0,47.9
,673.2,1,.0,.0,48.0
,673.3,1,.0,.0,48.0
,673.4,1,.0,.0,48.0
,673.5,1,.0,.0,48.1
,673.6,1,.0,.0,48.1
,673.8,2,.1,.1,48.2
,673.9,1,.0,.0,48.2
,674.0,2,.1,.1,48.3
,674.1,1,.0,.0,48.3
,674.2,2,.1,.1,48.4
,674.9,1,.0,.0,48.4
,675.2,1,.0,.0,48.4
,675.4,1,.0,.0,48.5
,675.5,1,.0,.0,48.5
,675.7,1,.0,.0,48.5
,675.8,1,.0,.0,48.5
,675.9,2,.1,.1,48.6
,676.0,1,.0,.0,48.6
,676.1,1,.0,.0,48.7
,676.2,2,.1,.1,48.7
,676.4,1,.0,.0,48.8
,676.5,2,.1,.1,48.8
,676.9,1,.0,.0,48.9
,677.0,2,.1,.1,48.9
,677.1,1,.0,.0,49.0
,677.3,1,.0,.0,49.0
,677.4,1,.0,.0,49.0
,677.5,1,.0,.0,49.1
,677.6,1,.0,.0,49.1
,677.8,3,.1,.1,49.2
,678.0,1,.0,.0,49.2
,678.3,1,.0,.0,49.3
,678.4,1,.0,.0,49.3
,678.6,1,.0,.0,49.3
,678.7,1,.0,.0,49.4
,678.8,1,.0,.0,49.4
,678.9,1,.0,.0,49.4
,679.0,1,.0,.0,49.5
,679.4,1,.0,.0,49.5
,679.5,2,.1,.1,49.5
,679.9,1,.0,.0,49.6
,680.1,1,.0,.0,49.6
,680.9,1,.0,.0,49.6
,681.0,1,.0,.0,49.7
,681.2,2,.1,.1,49.7
,681.3,1,.0,.0,49.8
,681.4,1,.0,.0,49.8
,681.5,2,.1,.1,49.9
,681.6,1,.0,.0,49.9
,681.9,1,.0,.0,49.9
,682.2,1,.0,.0,50.0
,682.4,1,.0,.0,50.0
,682.5,2,.1,.1,50.1
,683.0,3,.1,.1,50.2
,683.1,4,.1,.1,50.3
,683.2,3,.1,.1,50.4
,683.3,1,.0,.0,50.4
,683.4,2,.1,.1,50.5
,683.5,1,.0,.0,50.5
,683.6,1,.0,.0,50.5
,684.0,2,.1,.1,50.6
,684.1,1,.0,.0,50.6
,684.2,1,.0,.0,50.7
,684.6,2,.1,.1,50.7
,684.8,1,.0,.0,50.8
,685.1,1,.0,.0,50.8
,685.2,1,.0,.0,50.8
,685.5,2,.1,.1,50.9
,685.7,1,.0,.0,50.9
,685.9,2,.1,.1,51.0
,686.0,1,.0,.0,51.0
,686.3,2,.1,.1,51.1
,686.5,2,.1,.1,51.2
,686.7,1,.0,.0,51.2
,687.1,2,.1,.1,51.3
,687.2,2,.1,.1,51.3
,687.3,2,.1,.1,51.4
,687.4,3,.1,.1,51.5
,687.7,2,.1,.1,51.5
,688.0,2,.1,.1,51.6
,688.1,1,.0,.0,51.6
,688.4,2,.1,.1,51.7
,688.8,1,.0,.0,51.7
,688.9,1,.0,.0,51.8
,689.1,1,.0,.0,51.8
,689.2,1,.0,.0,51.8
,689.5,2,.1,.1,51.9
,689.7,1,.0,.0,51.9
,689.8,1,.0,.0,52.0
,690.2,1,.0,.0,52.0
,690.3,1,.0,.0,52.0
,690.6,1,.0,.0,52.1
,690.8,1,.0,.0,52.1
,690.9,1,.0,.0,52.1
,691.0,1,.0,.0,52.2
,691.1,2,.1,.1,52.2
,691.2,1,.0,.0,52.3
,691.3,1,.0,.0,52.3
,691.4,2,.1,.1,52.4
,691.5,2,.1,.1,52.4
,691.7,2,.1,.1,52.5
,691.8,2,.1,.1,52.5
,691.9,1,.0,.0,52.6
,692.0,2,.1,.1,52.6
,692.2,2,.1,.1,52.7
,692.3,2,.1,.1,52.8
,692.4,1,.0,.0,52.8
,692.5,1,.0,.0,52.8
,692.7,1,.0,.0,52.9
,693.1,1,.0,.0,52.9
,693.6,1,.0,.0,52.9
,693.7,1,.0,.0,53.0
,694.0,1,.0,.0,53.0
,694.2,1,.0,.0,53.0
,694.4,1,.0,.0,53.1
,694.6,1,.0,.0,53.1
,694.7,2,.1,.1,53.2
,694.9,1,.0,.0,53.2
,695.2,1,.0,.0,53.2
,695.4,1,.0,.0,53.3
,695.5,1,.0,.0,53.3
,695.6,1,.0,.0,53.3
,696.2,2,.1,.1,53.4
,696.3,1,.0,.0,53.4
,696.4,1,.0,.0,53.4
,696.5,1,.0,.0,53.5
,696.8,1,.0,.0,53.5
,697.0,3,.1,.1,53.6
,697.1,2,.1,.1,53.7
,697.4,1,.0,.0,53.7
,697.5,1,.0,.0,53.7
,697.6,1,.0,.0,53.8
,697.7,1,.0,.0,53.8
,697.9,2,.1,.1,53.9
,698.0,2,.1,.1,53.9
,698.2,3,.1,.1,54.0
,698.3,2,.1,.1,54.1
,698.4,1,.0,.0,54.1
,698.5,1,.0,.0,54.2
,698.6,2,.1,.1,54.2
,698.8,1,.0,.0,54.3
,698.9,1,.0,.0,54.3
,699.0,1,.0,.0,54.3
,699.5,1,.0,.0,54.4
,699.6,3,.1,.1,54.4
,699.7,1,.0,.0,54.5
,699.8,1,.0,.0,54.5
,699.9,2,.1,.1,54.6
,700.0,2,.1,.1,54.6
,700.1,2,.1,.1,54.7
,700.2,1,.0,.0,54.7
,700.3,2,.1,.1,54.8
,700.4,1,.0,.0,54.8
,700.5,1,.0,.0,54.9
,700.6,1,.0,.0,54.9
,700.9,2,.1,.1,55.0
,701.3,1,.0,.0,55.0
,701.4,1,.0,.0,55.0
,701.5,2,.1,.1,55.1
,701.6,1,.0,.0,55.1
,701.7,2,.1,.1,55.2
,701.8,2,.1,.1,55.3
,701.9,3,.1,.1,55.4
,702.0,2,.1,.1,55.4
,702.1,1,.0,.0,55.4
,702.2,2,.1,.1,55.5
,702.3,1,.0,.0,55.5
,702.5,1,.0,.0,55.6
,702.6,1,.0,.0,55.6
,702.8,1,.0,.0,55.6
,702.9,1,.0,.0,55.7
,703.0,1,.0,.0,55.7
,703.5,2,.1,.1,55.8
,703.7,1,.0,.0,55.8
,703.8,2,.1,.1,55.9
,703.9,3,.1,.1,56.0
,704.0,1,.0,.0,56.0
,704.1,1,.0,.0,56.0
,704.4,1,.0,.0,56.1
,704.5,1,.0,.0,56.1
,704.7,2,.1,.1,56.2
,704.8,1,.0,.0,56.2
,705.1,2,.1,.1,56.3
,705.3,2,.1,.1,56.3
,705.6,1,.0,.0,56.4
,705.7,2,.1,.1,56.4
,706.1,1,.0,.0,56.4
,706.3,2,.1,.1,56.5
,706.5,2,.1,.1,56.6
,706.6,1,.0,.0,56.6
,706.7,1,.0,.0,56.6
,706.8,1,.0,.0,56.7
,707.2,1,.0,.0,56.7
,707.3,3,.1,.1,56.8
,707.5,1,.0,.0,56.8
,707.7,1,.0,.0,56.9
,707.9,1,.0,.0,56.9
,708.0,3,.1,.1,57.0
,708.1,1,.0,.0,57.0
,708.2,1,.0,.0,57.1
,708.4,1,.0,.0,57.1
,708.5,1,.0,.0,57.1
,708.6,1,.0,.0,57.2
,708.8,1,.0,.0,57.2
,708.9,2,.1,.1,57.3
,709.1,3,.1,.1,57.4
,709.3,2,.1,.1,57.4
,709.5,2,.1,.1,57.5
,709.6,2,.1,.1,57.5
,709.8,1,.0,.0,57.6
,709.9,1,.0,.0,57.6
,710.1,3,.1,.1,57.7
,710.3,2,.1,.1,57.8
,710.4,1,.0,.0,57.8
,710.6,1,.0,.0,57.8
,710.7,1,.0,.0,57.9
,711.0,1,.0,.0,57.9
,711.1,1,.0,.0,57.9
,711.2,1,.0,.0,58.0
,711.4,3,.1,.1,58.1
,711.6,1,.0,.0,58.1
,711.7,1,.0,.0,58.1
,711.8,1,.0,.0,58.2
,712.0,1,.0,.0,58.2
,712.1,1,.0,.0,58.2
,712.2,2,.1,.1,58.3
,712.4,1,.0,.0,58.3
,712.5,1,.0,.0,58.3
,712.6,2,.1,.1,58.4
,712.9,3,.1,.1,58.5
,713.0,1,.0,.0,58.5
,713.1,1,.0,.0,58.6
,713.3,3,.1,.1,58.7
,713.4,1,.0,.0,58.7
,713.6,2,.1,.1,58.8
,713.7,2,.1,.1,58.8
,714.0,3,.1,.1,58.9
,714.3,1,.0,.0,59.0
,714.5,1,.0,.0,59.0
,714.7,1,.0,.0,59.0
,714.9,1,.0,.0,59.1
,715.0,2,.1,.1,59.1
,715.1,3,.1,.1,59.2
,715.3,2,.1,.1,59.3
,715.7,1,.0,.0,59.3
,715.8,1,.0,.0,59.3
,715.9,1,.0,.0,59.4
,716.0,2,.1,.1,59.4
,716.1,1,.0,.0,59.5
,716.3,1,.0,.0,59.5
,716.4,3,.1,.1,59.6
,716.5,1,.0,.0,59.6
,716.7,3,.1,.1,59.7
,716.9,1,.0,.0,59.8
,717.0,1,.0,.0,59.8
,717.5,2,.1,.1,59.9
,717.6,1,.0,.0,59.9
,717.8,2,.1,.1,60.0
,718.3,1,.0,.0,60.0
,718.4,1,.0,.0,60.0
,718.5,1,.0,.0,60.1
,718.6,1,.0,.0,60.1
,718.7,2,.1,.1,60.2
,719.1,1,.0,.0,60.2
,719.2,2,.1,.1,60.3
,719.3,2,.1,.1,60.3
,719.5,2,.1,.1,60.4
,719.7,1,.0,.0,60.4
,719.8,2,.1,.1,60.5
,719.9,1,.0,.0,60.5
,720.1,3,.1,.1,60.6
,720.2,3,.1,.1,60.7
,720.3,2,.1,.1,60.8
,720.4,1,.0,.0,60.8
,720.5,1,.0,.0,60.8
,720.6,2,.1,.1,60.9
,720.9,1,.0,.0,60.9
,721.0,2,.1,.1,61.0
,721.3,1,.0,.0,61.0
,721.6,1,.0,.0,61.1
,721.7,3,.1,.1,61.2
,721.8,1,.0,.0,61.2
,722.1,1,.0,.0,61.2
,722.2,1,.0,.0,61.3
,722.5,1,.0,.0,61.3
,722.6,1,.0,.0,61.3
,722.8,2,.1,.1,61.4
,722.9,2,.1,.1,61.4
,723.2,1,.0,.0,61.5
,723.3,2,.1,.1,61.5
,723.4,2,.1,.1,61.6
,723.5,2,.1,.1,61.7
,723.6,2,.1,.1,61.7
,723.8,1,.0,.0,61.8
,723.9,1,.0,.0,61.8
,724.0,1,.0,.0,61.8
,724.1,1,.0,.0,61.9
,724.2,3,.1,.1,62.0
,724.3,1,.0,.0,62.0
,724.4,1,.0,.0,62.0
,724.5,1,.0,.0,62.1
,724.6,1,.0,.0,62.1
,724.9,1,.0,.0,62.1
,725.0,1,.0,.0,62.2
,725.1,1,.0,.0,62.2
,725.2,1,.0,.0,62.2
,725.5,1,.0,.0,62.3
,725.6,1,.0,.0,62.3
,725.9,1,.0,.0,62.3
,726.1,1,.0,.0,62.3
,726.2,1,.0,.0,62.4
,726.7,2,.1,.1,62.4
,726.9,1,.0,.0,62.5
,727.0,3,.1,.1,62.6
,727.3,1,.0,.0,62.6
,727.5,1,.0,.0,62.6
,727.6,1,.0,.0,62.7
,727.7,1,.0,.0,62.7
,727.8,1,.0,.0,62.7
,727.9,1,.0,.0,62.8
,728.3,1,.0,.0,62.8
,729.0,1,.0,.0,62.8
,729.4,2,.1,.1,62.9
,729.5,2,.1,.1,63.0
,729.6,1,.0,.0,63.0
,729.7,1,.0,.0,63.0
,729.8,1,.0,.0,63.1
,729.9,2,.1,.1,63.1
,730.0,1,.0,.0,63.2
,730.3,2,.1,.1,63.2
,730.4,1,.0,.0,63.2
,730.5,1,.0,.0,63.3
,730.7,1,.0,.0,63.3
,731.1,1,.0,.0,63.3
,731.2,1,.0,.0,63.4
,731.6,1,.0,.0,63.4
,732.1,3,.1,.1,63.5
,732.3,1,.0,.0,63.5
,732.4,1,.0,.0,63.6
,732.8,3,.1,.1,63.7
,732.9,1,.0,.0,63.7
,733.1,1,.0,.0,63.7
,733.5,2,.1,.1,63.8
,733.6,1,.0,.0,63.8
,733.7,1,.0,.0,63.9
,733.8,2,.1,.1,63.9
,734.6,1,.0,.0,64.0
,734.8,2,.1,.1,64.0
,735.1,3,.1,.1,64.1
,735.4,1,.0,.0,64.2
,735.6,2,.1,.1,64.2
,735.7,1,.0,.0,64.2
,735.8,2,.1,.1,64.3
,735.9,1,.0,.0,64.3
,736.3,2,.1,.1,64.4
,736.4,1,.0,.0,64.4
,736.6,1,.0,.0,64.5
,736.8,1,.0,.0,64.5
,736.9,1,.0,.0,64.5
,737.1,2,.1,.1,64.6
,737.2,1,.0,.0,64.6
,737.3,2,.1,.1,64.7
,737.6,1,.0,.0,64.7
,737.7,1,.0,.0,64.8
,737.9,3,.1,.1,64.9
,738.0,1,.0,.0,64.9
,738.3,1,.0,.0,64.9
,738.8,1,.0,.0,65.0
,738.9,1,.0,.0,65.0
,739.3,1,.0,.0,65.0
,739.7,1,.0,.0,65.1
,740.2,2,.1,.1,65.1
,740.5,2,.1,.1,65.2
,740.6,1,.0,.0,65.2
,740.8,2,.1,.1,65.3
,740.9,1,.0,.0,65.3
,741.0,1,.0,.0,65.3
,741.1,1,.0,.0,65.4
,741.2,1,.0,.0,65.4
,741.3,1,.0,.0,65.4
,741.4,1,.0,.0,65.5
,741.5,2,.1,.1,65.5
,741.6,2,.1,.1,65.6
,741.7,2,.1,.1,65.7
,741.9,1,.0,.0,65.7
,742.1,2,.1,.1,65.8
,742.4,1,.0,.0,65.8
,742.5,2,.1,.1,65.9
,742.6,2,.1,.1,65.9
,742.7,1,.0,.0,66.0
,742.8,1,.0,.0,66.0
,743.0,2,.1,.1,66.1
,743.1,1,.0,.0,66.1
,743.3,1,.0,.0,66.1
,743.4,2,.1,.1,66.2
,743.5,2,.1,.1,66.2
,743.6,1,.0,.0,66.3
,743.7,1,.0,.0,66.3
,743.8,1,.0,.0,66.3
,743.9,4,.1,.1,66.5
,744.0,1,.0,.0,66.5
,744.1,1,.0,.0,66.5
,744.4,1,.0,.0,66.6
