"","County","CountyCode","Deaths","Population","Crude","ageadjustedrate","PCT_CVD_death","Quintiles"
"40","Allegheny County, PA",42003,26025,3337710,779.7,"666.4",0.0234,"1"
"41","Cuyahoga County, OH",39035,26772,3358418,797.2,"715.9",0.0237,"1"
"42","Franklin County, OH",39049,14436,2462934,586.1,"669.2",0.0238,"1"
"43","Bronx County, NY",36005,19792,2879512,687.3,"743.5",0.0239,"1"
"44","Fort Bend County, TX",48157,4051,1300555,311.5,"502.6",0.024,"1"
"45","Contra Costa County, CA",6013,12703,2643022,480.6,"507.8",0.0182,"1"
"46","Travis County, TX",48453,7105,1957587,362.9,"483.7",0.0185,"1"
"47","Sacramento County, CA",6067,19279,3201242,602.2,"635.8",0.0188,"1"
"48","Salt Lake County, UT",49035,8869,1924276,460.9,"543.2",0.024,"1"
"49","Philadelphia County, PA",42101,26370,3311513,796.3,"783.6",0.024,"1"
"50","Pima County, AZ",4019,14750,2475538,595.8,"550.7",0.0241,"1"
"51","Westchester County, NY",36119,15043,2475051,607.8,"547.9",0.0246,"1"
"52","Honolulu County, HI",15003,13359,2326933,574.1,"506.1",0.0247,"1"
"53","San Francisco County, CA",6075,10086,1967909,512.5,"471.7",0.026,"1"
"54","Lake County, IL",17097,7084,1644913,430.7,"514.5",0.0262,"1"
"55","Snohomish County, WA",53061,7656,1708281,448.2,"544.8",0.0262,"1"
"56","Ventura County, CA",6111,9952,1944877,511.7,"540.9",0.0263,"1"
"57","Hartford County, CT",9003,14318,2321981,616.6,"558.9",0.0266,"1"
"58","St. Louis County, MO",29189,18549,2627049,706.1,"654",0.0269,"1"
"59","New Haven County, CT",9009,13062,2204060,592.6,"537.7",0.0269,"1"
"60","Worcester County, MA",25027,11150,2027949,549.8,"557.6",0.0271,"1"
"61","Essex County, MA",25009,10765,1980326,543.6,"522.4",0.0275,"1"
"62","Prince George's County, MD",24033,10219,1927291,530.2,"700.9",0.0275,"1"
"63","Fulton County, GA",13121,10464,1948053,537.2,"635.7",0.0276,"1"
"64","Arapahoe County, CO",8005,4879,1316227,370.7,"443.1",0.0282,"1"
"65","Lee County, FL",12071,11389,1982188,574.6,"479.9",0.029,"1"
"66","Middlesex County, NJ",34023,11018,1931107,570.6,"584",0.0295,"1"
"67","Jefferson County, CO",8059,6025,1426963,422.2,"489.3",0.0296,"1"
"68","Montgomery County, PA",42091,13566,2138395,634.4,"565.5",0.0297,"1"
"69","Pierce County, WA",53053,10044,1836618,546.9,"625.4",0.0298,"1"
"70","Norfolk County, MA",25021,9665,1790524,539.8,"499",0.0301,"1"
"71","Denton County, TX",48121,4543,1331553,341.2,"541.4",0.0256,"1"
"72","Cobb County, GA",13067,5911,1508152,391.9,"541.4",0.026,"1"
"73","San Mateo County, CA",6081,8786,1837040,478.3,"468",0.026,"1"
"74","El Paso County, CO",8041,5784,1370873,421.9,"518.7",0.0308,"1"
"75","Bucks County, PA",42017,9461,1743129,542.8,"543.3",0.0311,"1"
"76","El Paso County, TX",48141,7936,1593616,498,"543.1",0.0312,"1"
"77","Erie County, NY",36029,18661,2436668,765.8,"689.5",0.0314,"1"
"78","Multnomah County, OR",41051,8558,1645259,520.2,"561.9",0.0316,"1"
"79","Douglas County, CO",8035,1322,638272,207.1,"372.1",0.0324,"1"
"80","Bernalillo County, NM",35001,7990,1562737,511.3,"540",0.0327,"1"
"81","Will County, IL",17197,7179,1475428,486.6,"636.1",0.033,"1"
